id;title__en;description__en;icon;tags;props__url;props__scheme;props__osi_approved
CC-BY-ND-2.5;Creative Commons Attribution No Derivatives 2.5 Generic;;;all;https://creativecommons.org/licenses/by-nd/2.5/legalcode;spdx;y
CC-BY-ND-3.0;Creative Commons Attribution No Derivatives 3.0 Unported;;;all;https://creativecommons.org/licenses/by-nd/3.0/legalcode;spdx;y
CC-BY-ND-3.0-DE;Creative Commons Attribution No Derivatives 3.0 Germany;;;all;https://creativecommons.org/licenses/by-nd/3.0/de/legalcode;spdx;y
CC-BY-ND-4.0;Creative Commons Attribution No Derivatives 4.0 International;;;all;https://creativecommons.org/licenses/by-nd/4.0/legalcode;spdx;y
CC-BY-SA-1.0;Creative Commons Attribution Share Alike 1.0 Generic;;;all;https://creativecommons.org/licenses/by-sa/1.0/legalcode;spdx;y
CC-BY-SA-2.0;Creative Commons Attribution Share Alike 2.0 Generic;;;all;https://creativecommons.org/licenses/by-sa/2.0/legalcode;spdx;y
CC-BY-SA-2.0-UK;Creative Commons Attribution Share Alike 2.0 England and Wales;;;all;https://creativecommons.org/licenses/by-sa/2.0/uk/legalcode;spdx;y
CC-BY-SA-2.1-JP;Creative Commons Attribution Share Alike 2.1 Japan;;;all;https://creativecommons.org/licenses/by-sa/2.1/jp/legalcode;spdx;y
CC-BY-SA-2.5;Creative Commons Attribution Share Alike 2.5 Generic;;;all;https://creativecommons.org/licenses/by-sa/2.5/legalcode;spdx;y
CC-BY-SA-3.0;Creative Commons Attribution Share Alike 3.0 Unported;;;all;https://creativecommons.org/licenses/by-sa/3.0/legalcode;spdx;y
CC-BY-SA-3.0-AT;Creative Commons Attribution Share Alike 3.0 Austria;;;all;https://creativecommons.org/licenses/by-sa/3.0/at/legalcode;spdx;y
CC-BY-SA-3.0-DE;Creative Commons Attribution Share Alike 3.0 Germany;;;all;https://creativecommons.org/licenses/by-sa/3.0/de/legalcode;spdx;y
CC-BY-SA-4.0;Creative Commons Attribution Share Alike 4.0 International;Permits almost any use subject to providing credit and license notice. Frequently used for media assets and educational materials. The most common license for Open Access scientific publications. Not recommended for software.;;all;https://creativecommons.org/licenses/by-sa/4.0/legalcode;spdx;y
CC-PDDC;Creative Commons Public Domain Dedication and Certification;;;all;https://creativecommons.org/licenses/publicdomain/;spdx;y
CC0-1.0;Creative Commons Zero v1.0 Universal;CC0 waives copyright interest in a work you've created and dedicates it to the world-wide public domain. Use CC0 to opt out of copyright entirely and ensure your work has the widest reach.;;all;https://creativecommons.org/publicdomain/zero/1.0/legalcode;spdx;y
CDDL-1.0;Common Development and Distribution License 1.0;;;all;https://opensource.org/licenses/cddl1;spdx;y
CDDL-1.1;Common Development and Distribution License 1.1;;;all;https://javaee.github.io/glassfish/LICENSE;spdx;y
CDL-1.0;Common Documentation License 1.0;;;all;https://www.gnu.org/licenses/license-list.html#ACDL;spdx;y
CDLA-Permissive-1.0;Community Data License Agreement Permissive 1.0;;;all;https://cdla.io/permissive-1-0;spdx;y
CDLA-Permissive-2.0;Community Data License Agreement Permissive 2.0;;;all;https://cdla.dev/permissive-2-0;spdx;y
CDLA-Sharing-1.0;Community Data License Agreement Sharing 1.0;;;all;https://cdla.io/sharing-1-0;spdx;y
CECILL-1.0;CeCILL Free Software License Agreement v1.0;;;all;http://www.cecill.info/licences/Licence_CeCILL_V1-fr.html;spdx;y
CECILL-1.1;CeCILL Free Software License Agreement v1.1;;;all;http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.html;spdx;y
CECILL-2.0;CeCILL Free Software License Agreement v2.0;;;all;http://www.cecill.info/licences/Licence_CeCILL_V2-en.html;spdx;y
CECILL-2.1;CeCILL Free Software License Agreement v2.1;;;all;http://www.cecill.info/licences/Licence_CeCILL_V2.1-en.html;spdx;y
CECILL-B;CeCILL-B Free Software License Agreement;;;all;http://www.cecill.info/licences/Licence_CeCILL-B_V1-en.html;spdx;y
CECILL-C;CeCILL-C Free Software License Agreement;;;all;http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html;spdx;y
CERN-OHL-1.1;CERN Open Hardware Licence v1.1;;;all;https://www.ohwr.org/project/licenses/wikis/cern-ohl-v1.1;spdx;y
CERN-OHL-1.2;CERN Open Hardware Licence v1.2;;;all;https://www.ohwr.org/project/licenses/wikis/cern-ohl-v1.2;spdx;y
CERN-OHL-P-2.0;CERN Open Hardware Licence Version 2 - Permissive;;;all;https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2;spdx;y
CERN-OHL-S-2.0;CERN Open Hardware Licence Version 2 - Strongly Reciprocal;;;all;https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2;spdx;y
CERN-OHL-W-2.0;CERN Open Hardware Licence Version 2 - Weakly Reciprocal;;;all;https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2;spdx;y
ClArtistic;Clarified Artistic License;;;all;http://www.ncftp.com/ncftp/doc/LICENSE.txt;spdx;y
CNRI-Jython;CNRI Jython License;;;all;http://www.jython.org/license.html;spdx;y
CNRI-Python-GPL-Compatible;CNRI Python Open Source GPL Compatible License Agreement;;;all;http://www.python.org/download/releases/1.6.1/download_win/;spdx;y
Condor-1.1;Condor Public License v1.1;;;all;http://web.archive.org/web/20111123062036/http://research.cs.wisc.edu/condor/license.html#condor;spdx;y
copyleft-next-0.3.0;copyleft-next 0.3.0;;;all;https://github.com/copyleft-next/copyleft-next/blob/master/Releases/copyleft-next-0.3.0;spdx;y
copyleft-next-0.3.1;copyleft-next 0.3.1;;;all;https://github.com/copyleft-next/copyleft-next/blob/master/Releases/copyleft-next-0.3.1;spdx;y
CPAL-1.0;Common Public Attribution License 1.0;;;all;https://opensource.org/licenses/CPAL-1.0;spdx;y
CPL-1.0;Common Public License 1.0;;;all;https://opensource.org/licenses/CPL-1.0;spdx;y
CPOL-1.02;Code Project Open License 1.02;;;all;http://www.codeproject.com/info/cpol10.aspx;spdx;y
Crossword;Crossword License;;;all;https://fedoraproject.org/wiki/Licensing/Crossword;spdx;y
CrystalStacker;CrystalStacker License;;;all;https://fedoraproject.org/wiki/Licensing:CrystalStacker?rd=Licensing/CrystalStacker;spdx;y
CUA-OPL-1.0;CUA Office Public License v1.0;;;all;https://opensource.org/licenses/CUA-OPL-1.0;spdx;y
Cube;Cube License;;;all;https://fedoraproject.org/wiki/Licensing/Cube;spdx;y
C-UDA-1.0;Computational Use of Data Agreement v1.0;;;all;https://cdla.dev/computational-use-of-data-agreement-v1-0/;spdx;y
curl;curl License;;;all;https://github.com/bagder/curl/blob/master/COPYING;spdx;y
D-FSL-1.0;Deutsche Freie Software Lizenz;;;all;https://www.hbz-nrw.de/produkte/open-access/lizenzen/dfsl/D-FSL-1_0_en.txt/at_download/file;spdx;y
diffmark;diffmark license;;;all;https://fedoraproject.org/wiki/Licensing/diffmark;spdx;y
dli-model-use;Statistics Canada: Data Liberation Initiative (DLI) - Model Data Use Licence;;;all,data;http://data.library.ubc.ca/datalib/geographic/DMTI/license.html;spdx;y
DOC;DOC License;;;all;https://www.dre.vanderbilt.edu/~schmidt/ACE-copying.html;spdx;y
Dotseqn;Dotseqn License;;;all;https://fedoraproject.org/wiki/Licensing/Dotseqn;spdx;y
DRL-1.0;Detection Rule License 1.0;;;all;https://github.com/Neo23x0/sigma/blob/master/LICENSE.Detection.Rules.md;spdx;y
DSDP;DSDP License;;;all;https://fedoraproject.org/wiki/Licensing/DSDP;spdx;y
DSL;Design Science License;;;all;https://opendefinition.org/licenses/dsl;spdx;y
dvipdfm;dvipdfm License;;;all;https://fedoraproject.org/wiki/Licensing/dvipdfm;spdx;y
ECL-1.0;Educational Community License v1.0;;;all;https://opensource.org/licenses/ECL-1.0;spdx;y
ECL-2.0;Educational Community License v2.0;;;all;https://opensource.org/licenses/ECL-2.0;spdx;y
eCos-2.0;eCos license version 2.0;;;all;https://www.gnu.org/licenses/ecos-license.html;spdx;y
EFL-1.0;Eiffel Forum License v1.0;;;all;https://opensource.org/licenses/EFL-1.0;spdx;y
eGenix;eGenix.com Public License 1.1.0;;;all;https://fedoraproject.org/wiki/Licensing/eGenix.com_Public_License_1.1.0;spdx;y
Entessa;Entessa Public License v1.0;;;all;https://opensource.org/licenses/Entessa;spdx;y
EPICS;EPICS Open License;;;all;https://epics.anl.gov/license/open.php;spdx;y
EPL-1.0;Eclipse Public License 1.0;;;all;https://opensource.org/licenses/EPL-1.0;spdx;y
EPL-2.0;Eclipse Public License 2.0;;;all;https://www.opensource.org/licenses/EPL-2.0;spdx;y
ErlPL-1.1;Erlang Public License v1.1;;;all;http://www.erlang.org/EPLICENSE;spdx;y
etalab-2.0;Etalab Open License 2.0;;;all;https://raw.githubusercontent.com/DISIC/politique-de-contribution-open-source/master/LICENSE;spdx;y
EUDatagrid;EU DataGrid Software License;;;all;https://opensource.org/licenses/EUDatagrid;spdx;y
EUPL-1.0;European Union Public License 1.0;;;all;http://ec.europa.eu/idabc/servlets/Doc027f.pdf?id=31096;spdx;y
EUPL-1.1;European Union Public License 1.1;;;all;https://opensource.org/licenses/EUPL-1.1;spdx;y
EUPL-1.2;European Union Public License 1.2;;;all;https://opensource.org/licenses/EUPL-1.2;spdx;y
Eurosym;Eurosym License;;;all;https://fedoraproject.org/wiki/Licensing/Eurosym;spdx;y
Fair;Fair License;;;all;https://opensource.org/licenses/Fair;spdx;y
FAL-1.3;Free Art License 1.3;;;all;https://opendefinition.org/licenses/fal;spdx;y
Frameworx-1.0;Frameworx Open License 1.0;;;all;https://opensource.org/licenses/Frameworx-1.0;spdx;y
FreeBSD-DOC;FreeBSD Documentation License;;;all;https://www.freebsd.org/copyright/freebsd-doc-license/;spdx;y
FreeImage;FreeImage Public License v1.0;;;all;http://freeimage.sourceforge.net/freeimage-license.txt;spdx;y
FSFAP;FSF All Permissive License;;;all;https://www.gnu.org/prep/maintain/html_node/License-Notices-for-Other-Files.html;spdx;y
FSFUL;FSF Unlimited License;;;all;https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License;spdx;y
FSFULLR;FSF Unlimited License (with License Retention);;;all;https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant;spdx;y
FTL;Freetype Project License;;;all;http://gitlab.freedesktop.org/freetype/freetype/-/raw/master/docs/FTL.TXT;spdx;y
GD;GD License;;;all;https://libgd.github.io/manuals/2.3.0/files/license-txt.html;spdx;y
geogratis;Geogratis;;;all,data;http://geogratis.gc.ca/geogratis/licenceGG;spdx;y
GFDL-1.1;GNU Free Documentation License v1.1;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-invariants-only;GNU Free Documentation License v1.1 only - invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-invariants-or-later;GNU Free Documentation License v1.1 or later - invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-no-invariants-only;GNU Free Documentation License v1.1 only - no invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-no-invariants-or-later;GNU Free Documentation License v1.1 or later - no invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-only;GNU Free Documentation License v1.1 only;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.1-or-later;GNU Free Documentation License v1.1 or later;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt;spdx;y
GFDL-1.2;GNU Free Documentation License v1.2;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
GFDL-1.2-invariants-only;GNU Free Documentation License v1.2 only - invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
GFDL-1.2-invariants-or-later;GNU Free Documentation License v1.2 or later - invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
GFDL-1.2-no-invariants-only;GNU Free Documentation License v1.2 only - no invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
GFDL-1.2-no-invariants-or-later;GNU Free Documentation License v1.2 or later - no invariants;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
GFDL-1.2-only;GNU Free Documentation License v1.2 only;;;all;https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt;spdx;y
